Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres
0,4.1,159,19,6,0,0,1,AD
0,3.9,967,14,18,0,0,1,AD
0,4.7,87510,8.7,13,0,0,1,AD
0,4.5,215644,25,16,0,0,4,AD
0,4.3,967,2.8,9,0,0,1,AD
0,4.4,167,5.6,15,0,0,1,AD
0,3.8,178,19,15,0,0,1,AD
0,4.1,36815,29,3,0,0,1,AD
0,4.4,13791,33,3,0,0,1,AD
0,4.7,121,3.1,6,0,0,1,AD
0,4.4,13880,28,3,0,0,1,AD
0,4.4,8788,12,3,0,0,1,AD
0,4.2,44829,20,7,0,0,4,AD
0,4.6,4326,21,9,0,0,1,AD
0,4.4,1518,37,9,0,0,1,AD
0,4.7,3632,5.5,18,0,0,1,AD
0,4.5,27,17,6,0,0,1,AD
0,4.3,194216,39,13,0,0,1,AD
0,4.6,224399,31,7,0,0,1,AD
0,4.0,450,14,9,0,0,1,AD
0,4.1,654,12,9,0,0,1,AD
0,4.7,7699,4.2,18,0,0,2,AD
0,4.7,118,23,15,0,0,1,AD
0,4.8,192,6.0,6,0,0,1,AD
0,4.7,20260,25,18,0,0,1,AD
0,4.1,203,6.1,9,0,0,1,AD
0,3.9,136,4.6,6,0,0,1,AD
0,4.1,223,4.2,9,0,0,1,AD
0,4.2,1120,9.2,9,0,0,1,AD
0,4.1,227,5.2,15,0,0,1,AD
0,4.5,5035,11,9,0,0,1,AD
0,4.2,1015,11,9,0,0,1,AD
0,4.7,353,4.2,6,0,0,4,AD
0,3.8,564,9.2,9,0,0,1,AD
0,4.7,8145,24,18,0,0,1,AD
0,4.7,158,11,6,0,0,1,AD
0,4.0,591,9.4,18,0,0,1,AD
0,4.2,117,15,6,0,0,1,AD
0,4.5,176,10,9,0,0,1,AD
0,3.8,2206,1.2,9,0,0,1,AD
0,4.2,26,12,6,0,0,1,AD
0,4.7,174531,24,7,0,0,1,AD
0,4.6,1070,26,9,0,0,1,AD
0,4.2,85,8.0,9,0,0,1,AD
0,4.3,845,7.9,9,0,0,1,AD
1,4.2,367,25,9,0,0,1,AutoV
1,4.0,1598,56,3,0,0,1,AutoV
1,3.8,284,57,9,0,0,1,AutoV
1,3.9,129,35,9,0,0,1,AutoV
1,4.3,542,33,9,0,0,1,AutoV
1,4.9,10479,33,9,0,0,1,AutoV
1,4.4,805,5.6,15,0,0,1,AutoV
1,4.2,129,54,9,0,0,1,AutoV
1,4.0,1403,201,9,0,0,1,AutoV
1,3.9,3971,3.6,9,0,0,1,AutoV
1,4.6,534,5.7,6,0,0,1,AutoV
1,4.9,7774,17,9,0,0,1,AutoV
1,4.3,38846,8.6,3,0,0,1,AutoV
1,4.6,2431,2.4,9,0,0,1,AutoV
1,4.9,6090,27,9,0,0,1,AutoV
1,3.9,295,2.7,6,0,0,1,AutoV
1,4.0,190,2.5,15,0,0,1,AutoV
1,4.2,52530,7.0,13,0,0,1,AutoV
1,4.8,116986,35,13,0,0,1,AutoV
1,3.6,1379,16,18,0,0,1,AutoV
1,4.2,271920,16,7,0,0,4,AutoV
1,4.8,7021,17,18,0,0,1,AutoV
1,4.6,197,3.4,15,0,0,1,AutoV
1,4.5,737,8.9,9,0,0,1,AutoV
1,4.3,3574,3.9,3,0,0,2,AutoV
1,4.5,994,2.9,9,0,0,1,AutoV
1,4.9,197136,38,3,0,0,1,AutoV
1,3.9,142,32,15,0,0,1,AutoV
1,4.4,15168,37,3,0,0,1,AutoV
1,4.0,2155,15,18,0,0,1,AutoV
1,4.3,138,5.4,9,0,0,1,AutoV
1,3.7,5414,18,3,0,0,1,AutoV
1,4.3,348,38,9,0,0,1,AutoV
1,3.2,250,1.1,9,0,0,1,AutoV
1,4.5,3617,7.9,9,0,0,1,AutoV
1,3.7,4806,35,3,0,0,1,AutoV
1,4.6,31433,17,3,0,0,1,AutoV
1,4.6,5097,19,3,0,0,1,AutoV
1,4.0,1754,14,18,0,0,1,AutoV
1,4.4,2680,2.2,18,0,0,1,AutoV
1,4.0,1288,4.5,9,0,0,1,AutoV
2,4.7,18900,17,18,0,0,1,Beauty
2,4.9,49790,14,3,0,0,1,Beauty
2,4.7,1150,9.8,9,0,0,1,Beauty
2,3.9,1739,21,18,0,0,1,Beauty
2,4.2,2225,52,18,0,0,1,Beauty
2,4.6,4369,14,9,0,0,1,Beauty
2,4.3,8572,25,3,0,0,1,Beauty
2,4.7,964,9.0,15,0,0,1,Beauty
2,4.8,104,12,6,0,0,1,Beauty
2,4.3,601,35,9,0,0,1,Beauty
2,4.5,36,6.7,6,0,0,1,Beauty
2,4.1,187,30,15,0,0,4,Beauty
2,4.2,30,2.9,6,0,0,1,Beauty
2,4.5,134,17,6,0,0,1,Beauty
2,4.4,74,2.9,6,0,0,1,Beauty
2,4.1,9315,2.6,3,0,0,1,Beauty
2,4.4,75,4.2,15,0,0,1,Beauty
2,4.6,38,7.1,6,0,0,1,Beauty
2,4.5,26834,57,3,0,0,1,Beauty
2,3.9,2277,22,18,0,0,1,Beauty
2,4.4,2280,24,18,0,0,1,Beauty
2,4.6,184,21,6,0,0,1,Beauty
2,3.8,9,3.4,12,0,0,1,Beauty
2,4.0,364,6.4,9,0,0,1,Beauty
2,4.3,18,3.2,12,0,0,1,Beauty
2,4.5,473,8.2,9,0,0,3,Beauty
2,4.1,66,2.9,6,0,0,1,Beauty
2,3.7,3871,23,3,0,0,1,Beauty
2,4.7,257,4.6,15,0,0,1,Beauty
2,4.2,62,3.1,6,0,0,1,Beauty
3,4.5,1857,4.9,15,0,0,1,Books
3,4.6,4478,9.5,9,0,0,2,Books
3,4.5,418,4.2,9,0,0,1,Books
3,4.4,22486,5.4,3,0,0,4,Books
3,4.6,1435,2.8,18,0,0,1,Books
3,4.8,116507,5.0,3,0,0,4,Books
3,4.6,90468,5.9,13,0,0,1,Books
3,4.2,860,13,9,0,0,1,Books
3,4.1,363934,7.1,7,0,0,1,Books
3,4.7,967,6.7,18,0,0,1,Books
3,4.3,17506,17,3,0,0,1,Books
3,3.3,1862,19,3,0,0,1,Books
3,4.6,2084,6.7,18,0,0,1,Books
3,4.8,47303,21,3,0,0,1,Books
3,4.1,85842,37,13,0,0,1,Books
3,4.6,7831,15,9,0,0,4,Books
3,4.1,91615,23,13,0,0,3,Books
3,4.6,4620,19,18,0,0,1,Books
3,4.7,21336,23,3,0,0,1,Books
3,4.5,26875,73,18,0,0,1,Books
3,3.9,1778,4.9,18,0,0,3,Books
3,4.4,2709,6.8,3,0,0,1,Books
3,4.5,527,2.9,9,0,0,1,Books
3,4.4,1322,3.5,9,0,0,1,Books
3,3.4,1680,4.0,9,0,0,1,Books
3,4.9,2739,21,15,0,0,1,Books
3,4.6,1065,2.3,18,0,0,1,Books
3,4.4,8788,10,3,0,0,1,Books
3,4.4,51269,6.1,3,0,0,1,Books
